Timestamp,CPU usage_MHZ,CPU usage_%,Memory usage_KB,Memory usage_%,Disk read throughput_KB/s,Disk write throughput_KB/s,Network received throughput_KB/s,Network transmitted throughput_KB/s
1/1/2015 0:00,1232,12.84,2918397,34.79,66,58734,79,4465
1/1/2015 1:00,3182,22.15,5988627,71.39,74,1706,105,8285
1/1/2015 2:00,3974,27.66,5054136,60.25,129,845,3,10
1/1/2015 3:00,3613,25.15,5624562,67.05,129,1029,1,5
1/1/2015 4:00,6151,42.81,5775556,68.85,2340,17083,101,4889
1/1/2015 5:00,3133,21.81,6240285,74.39,455,1656,15,43
1/1/2015 6:00,3093,21.53,6391281,76.19,730,1676,13,45
1/1/2015 7:00,2953,20.56,6441612,76.79,1449,579,9,14
1/1/2015 8:00,3619,25.19,5708448,68.05,415,3602,27,8
1/1/2015 9:00,4121,28.69,4892236,58.32,113,1886,16,22
1/1/2015 10:00,2832,19.71,4047503,48.25,61,415,19,12
1/1/2015 11:00,13477,93.39,7302284,87.05,7607,25419,12,40
1/1/2015 12:00,4468,31.1,5921518,70.59,3888,18257,13,39
1/1/2015 13:00,993,27.66,1820118,86.79,35466,3069,18,20
1/1/2015 14:00,2799,19.48,3935935,46.92,83,308,123,534
1/1/2015 15:00,2870,19.98,3455268,41.19,69,269,38,53
1/1/2015 16:00,2423,16.86,4881331,58.19,446,677,1,1
1/1/2015 17:00,8686,60.46,7526259,89.72,4821,18065,1,1
1/1/2015 18:00,2794,19.45,3779068,45.05,74,259,17,25
1/1/2015 19:00,2791,19.43,3846177,45.85,65,273,50,55
1/1/2015 20:00,2320,16.15,4864554,57.99,47,204,12,18
1/1/2015 21:00,982,27.36,1620050,77.25,35369,5695,110,32
1/1/2015 22:00,2268,15.78,5518865,65.79,61,270,17,23
1/1/2015 23:00,7825,54.47,7246918,86.39,2860,1853,22,50
1/2/2015 0:00,7129,49.63,7106829,84.72,1428,2545,71,69
1/2/2015 1:00,2824,19.65,7140383,85.12,762,843,1,1
1/2/2015 2:00,5392,37.54,5434979,64.79,813,523,26,35
1/2/2015 3:00,9228,64.24,7565686,90.19,5392,16655,20,37
1/2/2015 4:00,2711,18.87,5423235,64.65,484,90,20,23
1/2/2015 5:00,3652,25.42,3052614,36.39,60,729,98,100
1/2/2015 6:00,2128,14.81,4864554,57.99,60,161,58,31
1/2/2015 7:00,2363,16.45,5043231,60.12,52,200,32,42
1/2/2015 8:00,363,10.14,1045430,49.85,78,43487,21,21
1/2/2015 9:00,4090,28.47,6664749,79.45,1051,596,97,112
1/2/2015 10:00,6291,43.79,6542275,77.99,16460,17933,16,48
1/2/2015 11:00,7648,53.24,6737730,80.32,790,1813,121,71
1/2/2015 12:00,5578,38.83,6855171,81.72,4383,18024,35,55
1/2/2015 13:00,8042,55.98,7084179,84.45,883,944,12,16
1/2/2015 14:00,3517,24.48,4730336,56.39,107,2525,22,16
1/2/2015 15:00,8633,60.1,7604273,90.65,16213,18203,5,8
1/2/2015 16:00,2617,18.22,5451756,64.99,81,66,19,32
1/2/2015 17:00,2628,18.29,6626161,78.99,1134,267,2,5
1/2/2015 18:00,8094,56.34,6871948,81.92,358,531,182,17
1/2/2015 19:00,559,15.57,1224527,58.39,55,113,9,16
1/2/2015 20:00,8030,55.89,6827488,81.39,2241,1656,41,77
1/2/2015 21:00,421,11.75,1449552,69.12,82,25357,77,84
1/2/2015 22:00,462,12.89,1711066,81.59,2244,14264,125,40
1/2/2015 23:00,10422,72.55,7565686,90.19,8052,19183,214,36
1/3/2015 0:00,7983,55.57,6357726,75.79,344,683,57,21
1/3/2015 1:00,7211,50.19,7095923,84.59,3106,6353,391,245
1/3/2015 2:00,7677,53.44,6592607,78.59,9057,2995,7,9
1/3/2015 3:00,7842,54.59,6995260,83.39,1868,2056,9,11
1/3/2015 4:00,3895,27.11,7173937,85.52,5186,9336,38,43
1/3/2015 5:00,12691,88.35,7465022,88.99,2180,6532,42,56
1/3/2015 6:00,375,10.45,1421659,67.79,1394,37372,17,44
1/3/2015 7:00,6133,42.69,7168065,85.45,2450,10106,11,36
1/3/2015 8:00,4017,27.96,7548908,89.99,456,92,11,38
1/3/2015 9:00,367,10.24,1477444,70.45,1556,36928,8,13
1/3/2015 10:00,3779,26.3,5932424,70.72,12709,23871,25,71
1/3/2015 11:00,6615,46.05,6771284,80.72,3704,6544,83,60
1/3/2015 12:00,1079,50.61,1583769,75.52,933,36725,98,92
1/3/2015 13:00,3733,25.99,7459150,88.92,13706,22340,706,706
1/3/2015 14:00,347,9.67,1594884,76.05,584,36564,9,13
